2000/04/01;09:00;USD;H;CB Consumer Confidence (Mar);;137.10;;;140.80;
2000/04/01;09:00;USD;H;Core CPI (MoM) (Mar);;0.30%;;;0.10%;
2000/04/01;09:00;USD;H;Core Retail Sales (MoM) (Mar);;1.90%;;;1.30%;
2000/04/01;09:00;USD;H;Crude Oil Inventories (Mar);;1.35M;;;1.08M;
2000/04/01;09:00;USD;H;Existing Home Sales (Mar);;5.19M;;;5.12M;
2000/04/01;09:00;USD;H;ISM Manufacturing PMI (Mar);;54.90;;;55.80;
2000/04/01;09:00;USD;H;ISM Non-Manufacturing PMI (Mar);;57.40;;;56.20;
2000/04/01;09:00;USD;H;New Home Sales (Mar);;900.00K;;;856.00K;
2000/04/01;09:00;USD;H;Philadelphia Fed Manufacturing Index (Mar);;19.50;;;14.70;
2000/04/01;09:00;USD;H;Retail Sales (MoM) (Mar);;1.20%;;;1.50%;
2000/04/01;09:00;CAD;H;Core CPI (MoM) (Mar);;0.30%;;;0.40%;
2000/04/01;09:00;CAD;H;Core Retail Sales (MoM) (Mar);;1.20%;;;0.40%;
2000/04/01;09:00;CAD;H;Employment Change (Mar);;25.30K;;;19.50K;
2000/04/01;09:00;CAD;H;GDP (MoM) (Mar);;0.80%;;;0.00%;
2000/04/01;09:00;CAD;H;BoC Interest Rate Decision (Mar);;5.25%;;;5.00%;
2000/04/01;09:00;AUD;H;Employment Change (Mar);;48.20K;;;50.40K;
2000/04/01;09:00;AUD;H;RBA Interest Rate Decision (Mar);;5.50%;;;5.50%;
2000/04/01;09:00;AUD;H;Retail Sales (MoM) (Mar);;0.30%;;;-0.20%;
2000/04/01;09:00;NZD;H;RBNZ Interest Rate Decision (Mar);;5.53%;;;5.25%;
2000/04/01;09:00;EUR;H;CPI (YoY) (Mar);;2.10%;;;1.90%;
2000/04/01;09:00;EUR;H;ECB Interest Rate Decision (Mar);;3.50%;;;3.25%;
2000/04/01;12:30;USD;H;Unemployment Rate (Mar);;4%;;;4.1%;
2000/04/07;12:30;USD;H;Nonfarm Payrolls (Mar);;467K;;;130K;
2000/05/01;09:00;GBP;H;Claimant Count Change (Apr);;-30.70K;;;-8.20K;
2000/05/01;09:00;GBP;H;CPI (YoY) (Apr);;0.60%;;;0.60%;
2000/05/01;09:00;GBP;H;BoE Interest Rate Decision (Apr);;6.00%;;;6.00%;
2000/05/01;09:00;GBP;H;Manufacturing Production (MoM) (Apr);;-0.60%;;;0.20%;
2000/05/01;09:00;GBP;H;Retail Sales (MoM) (Apr);;1.80%;;;0.30%;
2000/05/01;09:00;USD;H;CB Consumer Confidence (Apr);;137.70;;;137.10;
2000/05/01;09:00;USD;H;Core CPI (MoM) (Apr);;0.20%;;;0.30%;
2000/05/01;09:00;USD;H;Core Retail Sales (MoM) (Apr);;-0.80%;;;1.90%;
2000/05/01;09:00;USD;H;Crude Oil Inventories (Apr);;2.55M;;;1.35M;
2000/05/01;09:00;USD;H;Existing Home Sales (Apr);;5.20M;;;5.19M;
2000/05/01;09:00;USD;H;ISM Manufacturing PMI (Apr);;54.70;;;54.90;
2000/05/01;09:00;USD;H;ISM Non-Manufacturing PMI (Apr);;58.00;;;57.40;
2000/05/01;09:00;USD;H;New Home Sales (Apr);;841.00K;;;900.00K;
2000/05/01;09:00;USD;H;Philadelphia Fed Manufacturing Index (Apr);;10.20;;;19.50;
2000/05/01;09:00;USD;H;Retail Sales (MoM) (Apr);;-1.50%;;;1.20%;
2000/05/01;09:00;CAD;H;Core CPI (MoM) (Apr);;0.00%;;;0.30%;
2000/05/01;09:00;CAD;H;Core Retail Sales (MoM) (Apr);;-0.30%;;;1.20%;
2000/05/01;09:00;CAD;H;Employment Change (Apr);;25.20K;;;25.30K;
2000/05/01;09:00;CAD;H;GDP (MoM) (Apr);;-0.10%;;;0.80%;
2000/05/01;09:00;CAD;H;BoC Interest Rate Decision (Apr);;5.25%;;;5.25%;
2000/05/01;09:00;AUD;H;Employment Change (Apr);;36.70K;;;48.20K;
2000/05/01;09:00;AUD;H;RBA Interest Rate Decision (Apr);;5.75%;;;5.50%;
2000/05/01;09:00;AUD;H;Retail Sales (MoM) (Apr);;0.10%;;;0.30%;
2000/05/01;09:00;NZD;H;RBNZ Interest Rate Decision (Apr);;5.85%;;;5.53%;
2000/05/01;09:00;EUR;H;CPI (YoY) (Apr);;1.90%;;;1.90%;
2000/05/01;09:00;EUR;H;ECB Interest Rate Decision (Apr);;3.75%;;;3.50%;
2000/05/01;12:30;USD;H;Unemployment Rate (Apr);;3.8%;;;4%;
2000/05/05;12:30;USD;H;Nonfarm Payrolls (Apr);;287K;;;467K;
2000/05/16;18:00;USD;H;Fed Interest Rate Decision;;6.50%;;;6.00%;
2000/06/01;09:00;GBP;H;Claimant Count Change (May);;-8.60K;;;-30.70K;
2000/06/01;09:00;GBP;H;CPI (YoY) (May);;0.50%;;;0.60%;
2000/06/01;09:00;GBP;H;BoE Interest Rate Decision (May);;6.00%;;;6.00%;
2000/06/01;09:00;GBP;H;Manufacturing Production (MoM) (May);;0.50%;;;-0.60%;
2000/06/01;09:00;GBP;H;Retail Sales (MoM) (May);;-1.10%;;;1.80%;
2000/06/01;09:00;USD;H;CB Consumer Confidence (May);;144.70;;;137.70;
2000/06/01;09:00;USD;H;Core CPI (MoM) (May);;0.20%;;;0.20%;
2000/06/01;09:00;USD;H;Core Retail Sales (MoM) (May);;0.20%;;;-0.80%;
2000/06/01;09:00;USD;H;Crude Oil Inventories (May);;-0.28M;;;2.55M;
2000/06/01;09:00;USD;H;Existing Home Sales (May);;5.11M;;;5.20M;
2000/06/01;09:00;USD;H;ISM Manufacturing PMI (May);;53.20;;;54.70;
2000/06/01;09:00;USD;H;ISM Non-Manufacturing PMI (May);;57.70;;;58.00;
2000/06/01;09:00;USD;H;New Home Sales (May);;857.00K;;;841.00K;
2000/06/01;09:00;USD;H;Philadelphia Fed Manufacturing Index (May);;13.90;;;10.20;
2000/06/01;09:00;USD;H;Retail Sales (MoM) (May);;0.20%;;;-1.50%;
2000/06/01;09:00;CAD;H;Core CPI (MoM) (May);;0.20%;;;0.00%;
2000/06/01;09:00;CAD;H;Core Retail Sales (MoM) (May);;0.10%;;;-0.30%;
2000/06/01;09:00;CAD;H;Employment Change (May);;13.70K;;;25.20K;
2000/06/01;09:00;CAD;H;GDP (MoM) (May);;0.60%;;;-0.10%;
2000/06/01;09:00;CAD;H;BoC Interest Rate Decision (May);;5.75%;;;5.25%;
2000/06/01;09:00;AUD;H;Employment Change (May);;4.00K;;;36.70K;
2000/06/01;09:00;AUD;H;RBA Interest Rate Decision (May);;6.00%;;;5.75%;
2000/06/01;09:00;AUD;H;Retail Sales (MoM) (May);;1.50%;;;0.10%;
2000/06/01;09:00;NZD;H;RBNZ Interest Rate Decision (May);;6.24%;;;5.85%;
2000/06/01;09:00;EUR;H;CPI (YoY) (May);;1.90%;;;1.70%;
2000/06/01;09:00;EUR;H;ECB Interest Rate Decision (May);;3.75%;;;3.75%;
2000/06/01;12:30;USD;H;Unemployment Rate (May);;4%;;;3.8%;
2000/06/02;12:30;USD;H;Nonfarm Payrolls (May);;226K;;;287K;
2000/07/01;09:00;GBP;H;Claimant Count Change (Jun);;-11.10K;;;-8.60K;
2000/07/01;09:00;GBP;H;CPI (YoY) (Jun);;0.80%;;;0.50%;
2000/07/01;09:00;GBP;H;BoE Interest Rate Decision (Jun);;6.00%;;;6.00%;
2000/07/01;09:00;GBP;H;Manufacturing Production (MoM) (Jun);;0.30%;;;0.50%;
2000/07/01;09:00;GBP;H;Retail Sales (MoM) (Jun);;-0.40%;;;-1.10%;
2000/07/01;09:00;USD;H;CB Consumer Confidence (Jun);;139.20;;;144.70;
2000/07/01;09:00;USD;H;Core CPI (MoM) (Jun);;0.20%;;;0.20%;
2000/07/01;09:00;USD;H;Core Retail Sales (MoM) (Jun);;0.60%;;;0.20%;
2000/07/01;09:00;USD;H;Crude Oil Inventories (Jun);;-2.06M;;;-0.28M;
2000/07/01;09:00;USD;H;Existing Home Sales (Jun);;5.13M;;;5.11M;
2000/07/01;09:00;USD;H;ISM Manufacturing PMI (Jun);;51.40;;;53.20;
